NdcSearch,Ndc
A62175044214,62175044214
A00409141005,00409141005
A41100081123,41100081123
A00904663961,00904663961
A00641604125,00641604125
A49348027734,49348027734
A00904668961,00904668961
A50419074701,50419074701
A00904671839,00904671839
A00386000802,00386000802
A00074792337,00074792337
A00074612290,00074612290
A00781910995,00781910995
A00121127600,00121127600
A60569049501,60569049501
A50383077111,50383077111
A00004026129,00004026129
A00338101102,00338101102
A51672130406,51672130406
A59630045008,59630045008
A63323036061,63323036061
A67457016202,67457016202
A51672400101,51672400101
A00013010201,00013010201
A60505076900,60505076900
A00264190955,00264190955
A65162089903,65162089903
A63739058810,63739058810
A00186108839,00186108839
A39822420006,39822420006
A59676032001,59676032001
A00074744716,00074744716
A68084024101,68084024101
A00409125830,00409125830
A00904647461,00904647461
A00904041161,00904041161
A63323013210,63323013210
A50474097075,50474097075
A00069015111,00069015111
A66479065001,66479065001
A00591079401,00591079401
A69543037910,69543037910
A00310032130,00310032130
A00074707013,00074707013
A55111052601,55111052601
A00074241421,00074241421
A00115167608,00115167608
A00703301513,00703301513
A52152011102,52152011102
A00054855324,00054855324
A60505614205,60505614205
A00078046791,00078046791
A42023011625,42023011625
A00132007912,00132007912
A51079074220,51079074220
A50383077504,50383077504
A61570004710,61570004710
A61570007201,61570007201
A00002323930,00002323930
A00603448521,00603448521
A00641614225,00641614225
A00955105290,00955105290
A00409189001,00409189001
A00069303220,00069303220
A51079044320,51079044320
A00430078327,00430078327
A25021011387,25021011387
A00006092558,00006092558
A54868003404,54868003404
A63739029310,63739029310
A00168001135,00168001135
A50383077515,50383077515
A00009002201,00009002201
A58177080302,58177080302
A76329336901,76329336901
A00904385561,00904385561
A65162041603,65162041603
A43386077101,43386077101
A55150012150,55150012150
A65847020525,65847020525
A00024582411,00024582411
A68682001227,68682001227
A25021081430,25021081430
A00078045735,00078045735
A42023017204,42023017204
A54629012691,54629012691
A00641244045,00641244045
A50458032006,50458032006
A67211010201,67211010201
A00536110945,00536110945
A51079002420,51079002420
A55390007310,55390007310
A51079056103,51079056103
A51645090599,51645090599
A51991065116,51991065116
A00338114703,00338114703
A58768010002,58768010002
A54838013340,54838013340
A00089061012,00089061012
A00071101268,00071101268
A49884060036,49884060036
A00069580043,00069580043
A00378181377,00378181377
A00904689004,00904689004
A00054022463,00054022463
A00597036082,00597036082
A00069055038,00069055038
A16571033016,16571033016
A68084050301,68084050301
A51079078720,51079078720
A16729029805,16729029805
A17478021515,17478021515
A61553020648,61553020648
A49884030602,49884030602
A13533061803,13533061803
A00472140016,00472140016
A00075006037,00075006037
A55111014330,55111014330
A00182008601,00182008601
A00409234632,00409234632
A00093578656,00093578656
A68084077401,68084077401
A13533080071,13533080071
A67457029202,67457029202
A66689000802,66689000802
A00904105661,00904105661
A25021040010,25021040010
A24208027715,24208027715
A00536110788,00536110788
A00409428202,00409428202
A00338055311,00338055311
A53270005101,53270005101
A54569040401,54569040401
A53489055201,53489055201
A74300000533,74300000533
A61314012605,61314012605
A00409403101,00409403101
A00283067902,00283067902
A00409120120,00409120120
A55390011405,55390011405
A00310652401,00310652401
A50383023210,50383023210
A59310020412,59310020412
A63323076350,63323076350
A65862002106,65862002106
A24208079535,24208079535
A63323054031,63323054031
A00187526802,00187526802
A59148007091,59148007091
A00006394132,00006394132
A00409128331,00409128331
A00009074635,00009074635
A61553035770,61553035770
A43386014028,43386014028
A44567051001,44567051001
A00085057102,00085057102
A00093911405,00093911405
A00409665305,00409665305
A61314020415,61314020415
A51672127406,51672127406
A00409405201,00409405201
A00338055002,00338055002
A63323026929,63323026929
A00065008515,00065008515
A61703022521,61703022521
A00004024515,00004024515
A00173056200,00173056200
A67877054588,67877054588
A00013872789,00013872789
A00781197201,00781197201
A10370010150,10370010150
A17478093415,17478093415
A68180041109,68180041109
A50474080203,50474080203
A00904663661,00904663661
A17478010112,17478010112
A70860010010,70860010010
A00168000815,00168000815
A63323028520,63323028520
A00085124402,00085124402
A00093645056,00093645056
A00703443411,00703443411
A00015309520,00015309520
A00172541211,00172541211
A00904585361,00904585361
A55390016210,55390016210
A51079092320,51079092320
A17772010301,17772010301
A00409163010,00409163010
A54569009300,54569009300
A24208000202,24208000202
A00078032406,00078032406
A00832051201,00832051201
A00904567761,00904567761
A60505056802,60505056802
A00245002322,00245002322
A00300304611,00300304611
A00049392083,00049392083
A00247108052,00247108052
A00085131801,00085131801
A76329906100,76329906100
A68462012801,68462012801
A50111078910,50111078910
A00006362836,00006362836
A10019010210,10019010210
A51079082020,51079082020
A44567062101,44567062101
A00409904502,00409904502
A54868175201,54868175201
A51991093898,51991093898
A00085151902,00085151902
A68850001001,68850001001
A00121177510,00121177510
A45963043963,45963043963
A00703450204,00703450204
A10122090112,10122090112
A51079048820,51079048820
A61703034318,61703034318
A58468035701,58468035701
A00172433260,00172433260
A00904105561,00904105561
A43199001560,43199001560
A68084073801,68084073801
A00054010625,00054010625
A55390006002,55390006002
A54868277600,54868277600
A55390011010,55390011010
A00173038879,00173038879
A42292003820,42292003820
A00904579061,00904579061
A55370088408,55370088408
A10139090510,10139090510
A10019001617,10019001617
A00054016625,00054016625
A12496120203,12496120203
A00023455430,00023455430
A50458030711,50458030711
A51079056520,51079056520
A43547034206,43547034206
A50474047066,50474047066
A00409113002,00409113002
A54569018100,54569018100
A00781543820,00781543820
A00409741803,00409741803
A00904650904,00904650904
A00555028602,00555028602
A50242006201,50242006201
A00555006602,00555006602
A63323012020,63323012020
A68084009301,68084009301
A51079065720,51079065720
A00591569401,00591569401
A60505325006,60505325006
A17314850101,17314850101
A47781060730,47781060730
A00406991816,00406991816
A67877024238,67877024238
A00781197501,00781197501
A00703854023,00703854023
A54092018981,54092018981
A00049318030,00049318030
A00006007131,00006007131
A45802006003,45802006003
A17314960001,17314960001
A11701005032,11701005032
A67877045430,67877045430
A00517345025,00517345025
A60687038921,60687038921
A00029608031,00029608031
A23490521205,23490521205
A00904646707,00904646707
A00067033062,00067033062
A00173075400,00173075400
A65974016302,65974016302
A17478006412,17478006412
A00074366303,00074366303
A00006499541,00006499541
A00078043561,00078043561
A00641040012,00641040012
A00904563161,00904563161
A00185001001,00185001001
A00069022301,00069022301
A00168000580,00168000580
A00555088602,00555088602
A00006057354,00006057354
A67457088910,67457088910
A00007420101,00007420101
A24208079062,24208079062
A00006542312,00006542312
A55150018810,55150018810
A60505258400,60505258400
A61570030031,61570030031
A49999010830,49999010830
A00310075590,00310075590
A00089030510,00089030510
A00338055318,00338055318
A00338069104,00338069104
A59762130801,59762130801
A66689020204,66689020204
A00228206710,00228206710
A59011075004,59011075004
A53905050101,53905050101
A54162055009,54162055009
A00004080085,00004080085
A50474059540,50474059540
A00074057611,00074057611
A00378672705,00378672705
A63323087715,63323087715
A60505613207,60505613207
A00182117089,00182117089
A00904650161,00904650161
A00904592961,00904592961
A24090049684,24090049684
A00406839062,00406839062
A00409739172,00409739172
A00024159601,00024159601
A63323010365,63323010365
A00071201223,00071201223
A60505100301,60505100301
A24208033005,24208033005
A63459041630,63459041630
A00143951910,00143951910
A42211010243,42211010243
A55513011101,55513011101
A00904635861,00904635861
A00409117830,00409117830
A68084008601,68084008601
A42291016001,42291016001
A68084038101,68084038101
A00002821501,00002821501
A00187170405,00187170405
A00078024115,00078024115
A63323017015,63323017015
A00074173214,00074173214
A60258085001,60258085001
A63323047820,63323047820
A00054318863,00054318863
A54569595900,54569595900
A68084058901,68084058901
A00071035060,00071035060
A00032121201,00032121201
A29300022701,29300022701
A00074194063,00074194063
A00904582461,00904582461
A00115681110,00115681110
A58160083501,58160083501
A63739094310,63739094310
A00456430001,00456430001
A60505299603,60505299603
A00143950610,00143950610
A00145150605,00145150605
A63653133202,63653133202
A60505250403,60505250403
A00409190201,00409190201
A49281054503,49281054503
A63323020500,63323020500
A00409159304,00409159304
A00062543001,00062543001
A00121085340,00121085340
A61703041818,61703041818
A00143120101,00143120101
A00517074020,00517074020
A47781058368,47781058368
A50268078815,50268078815
A00078066815,00078066815
A00143974610,00143974610
A00003037113,00003037113
A00469520130,00469520130
A62559015901,62559015901
A51079041820,51079041820
A00088120305,00088120305
A14789040005,14789040005
A00002897101,00002897101
A00469087202,00469087202
A50419051106,50419051106
A00088120806,00088120806
A00185505001,00185505001
A64764015105,64764015105
A00406114401,00406114401
A00703205603,00703205603
A00168007115,00168007115
A00078040134,00078040134
A59572063255,59572063255
A00904635161,00904635161
A59011010525,59011010525
A00409120703,00409120703
A00075291502,00075291502
A00409468828,00409468828
A58177000111,58177000111
A00338114403,00338114403
A00378911293,00378911293
A49502090230,49502090230
A00641601910,00641601910
